Character ID,Character Name,Spell Name,Incantation,Topic Label,Topic_0,Topic_1,Topic_2,Uses,Topic_0_weighted,Topic_1_weighted,Topic_2_weighted
1,Harry Potter,Salvio hexia,salvio hexia,LDA Topic 0: Offensive/Dark,0.953487,0.02325652,0.02325652,1,0.953487,0.02325652,0.02325652
3,Hermione Granger,Wand-Lighting Charm,lumos,LDA Topic 2: Defensive/Healing,0.01886952,0.018868754,0.96226174,1,0.01886952,0.018868754,0.96226174
1,Harry Potter,Wand-Lighting Charm,lumos,LDA Topic 2: Defensive/Healing,0.01886952,0.018868754,0.96226174,1,0.01886952,0.018868754,0.96226174
3,Hermione Granger,Blasting Curse,confringo,,0.030310577,0.93938595,0.030303435,1,0.030310577,0.93938595,0.030303435
1,Harry Potter,Summoning Charm,accio,LDA Topic 0: Offensive/Dark,0.95347583,0.023260888,0.023263305,1,0.95347583,0.023260888,0.023263305
1,Harry Potter,Wand-Lighting Charm,lumos,LDA Topic 2: Defensive/Healing,0.01886952,0.018868754,0.96226174,1,0.01886952,0.018868754,0.96226174
1,Harry Potter,Severing Charm,diffindo,LDA Topic 0: Offensive/Dark,0.95347685,0.023260996,0.023262111,1,0.95347685,0.023260996,0.023262111
1,Harry Potter,Engorgement Charm,engorgio,,0.023258507,0.95348126,0.0232602,1,0.023258507,0.95348126,0.0232602
1,Harry Potter,Shrinking Charm,reducio,LDA Topic 0: Offensive/Dark,0.9534736,0.023261,0.023265392,1,0.9534736,0.023261,0.023265392
1,Harry Potter,Stunning Spell,stupefy,LDA Topic 0: Offensive/Dark,0.9534776,0.02325971,0.0232627,1,0.9534776,0.02325971,0.0232627
1,Harry Potter,Stunning Spell,stupefy,LDA Topic 0: Offensive/Dark,0.9534776,0.02325971,0.0232627,1,0.9534776,0.02325971,0.0232627
1,Harry Potter,Imperius Curse,imperio,LDA Topic 0: Offensive/Dark,0.5315231,0.44960847,0.018868467,1,0.5315231,0.44960847,0.018868467
2,Ron Weasley,Imperius Curse,imperio,LDA Topic 0: Offensive/Dark,0.5315231,0.44960847,0.018868467,1,0.5315231,0.44960847,0.018868467
1,Harry Potter,Wand-Lighting Charm,lumos,LDA Topic 2: Defensive/Healing,0.01886952,0.018868754,0.96226174,1,0.01886952,0.018868754,0.96226174
2,Ron Weasley,Wand-Lighting Charm,lumos,LDA Topic 2: Defensive/Healing,0.01886952,0.018868754,0.96226174,1,0.01886952,0.018868754,0.96226174
3,Hermione Granger,Wand-Lighting Charm,lumos,LDA Topic 2: Defensive/Healing,0.01886952,0.018868754,0.96226174,1,0.01886952,0.018868754,0.96226174
3,Hermione Granger,Revulsion Jinx,relashio,LDA Topic 2: Defensive/Healing,0.015873907,0.015873676,0.9682524,1,0.015873907,0.015873676,0.9682524
1,Harry Potter,Patronus Charm,expecto patronum,LDA Topic 0: Offensive/Dark,0.96225065,0.018878317,0.018870993,1,0.96225065,0.018878317,0.018870993
166,Professors,Shield Charm,protego,LDA Topic 0: Offensive/Dark,0.97259295,0.013705476,0.013701603,1,0.97259295,0.013705476,0.013701603
166,Professors,Protego Maxima,protego maxima,LDA Topic 0: Offensive/Dark,0.96824247,0.015883511,0.015874026,1,0.96824247,0.015883511,0.015874026
166,Professors,Repello Inimicum,repello inimicum,,0.010754703,0.9784924,0.0107529415,1,0.010754703,0.9784924,0.0107529415
99,Gregory Goyle,Killing Curse,avada kedavra,LDA Topic 0: Offensive/Dark,0.953487,0.023256972,0.023256045,1,0.953487,0.023256972,0.023256045
1,Harry Potter,Disarming Charm,expelliarmus,LDA Topic 2: Defensive/Healing,0.023257174,0.023257019,0.9534858,1,0.023257174,0.023257019,0.9534858
6,Severus Snape,Patronus Charm,expecto patronum,LDA Topic 0: Offensive/Dark,0.96225065,0.018878317,0.018870993,1,0.96225065,0.018878317,0.018870993
1,Harry Potter,Blasting Curse,confringo,,0.030310577,0.93938595,0.030303435,1,0.030310577,0.93938595,0.030303435
1,Harry Potter,Blasting Curse,confringo,,0.030310577,0.93938595,0.030303435,1,0.030310577,0.93938595,0.030303435
