Character Name,Dialogue,lines
Harry Potter,Why not?,Harry Potter: Why not?
Harry Potter,It's got my name on it!,Harry Potter: It's got my name on it!
Harry Potter,Where's Sirius?,Harry Potter: Where's Sirius?
Lucius Malfoy,Now give me that prophesy.,Lucius Malfoy: Now give me that prophesy.
Harry Potter,What prophesy?,Harry Potter: What prophesy?
Lucius Malfoy,That prophesy. Now hand it over or we'll have to use wands on you.,Lucius Malfoy: That prophesy. Now hand it over or we'll have to use wands on you.
Harry Potter,Go ahead.,Harry Potter: Go ahead.
Harry Potter,Come and find out!,Harry Potter: Come and find out!
Bellatrix Lestrange,I haven't escaped from Azkaban for this!,Bellatrix Lestrange: I haven't escaped from Azkaban for this!
Lucius Malfoy,No! If the prophesy is smashed--,Lucius Malfoy: No! If the prophesy is smashed--
Bellatrix Lestrange,Take the youngest girl. We'll see how committed Potter is as we torture her.,Bellatrix Lestrange: Take the youngest girl. We'll see how committed Potter is as we torture her.
Harry Potter,You even try to take her and I'll smash this thing.,Harry Potter: You even try to take her and I'll smash this thing.
Harry Potter,Not really. How come Voldemort wants it?,Harry Potter: Not really. How come Voldemort wants it?
Lucius Malfoy,You dare to speak the Dark Lord's name?,Lucius Malfoy: You dare to speak the Dark Lord's name?
Bellatrix Lestrange,Silence! How dare you utter that name from your half--blood mouth!,Bellatrix Lestrange: Silence! How dare you utter that name from your half--blood mouth!
Harry Potter,What's so special about this,Harry Potter: What's so special about this
Lucius Malfoy,You mean Dumbledore never told you the reason you bear that scar was hidden here?,Lucius Malfoy: You mean Dumbledore never told you the reason you bear that scar was hidden here?
Harry Potter,What?,Harry Potter: What?
Lucius Malfoy,So that's what took you so long. We wondered.,Lucius Malfoy: So that's what took you so long. We wondered.
Harry Potter,Now!,Harry Potter: Now!
Hermione Granger,Stupify!,Hermione Granger: Stupify!
Lucius Malfoy,Stop them!,Lucius Malfoy: Stop them!
Hermione Granger,Colloportus!,Hermione Granger: Colloportus!
Harry Potter,Where'd the rest go?,Harry Potter: Where'd the rest go?
Ghosts,They might have gone on to the hall.,Ghosts: They might have gone on to the hall.
Bellatrix Lestrange,Check under the desks.,Bellatrix Lestrange: Check under the desks.
Harry Potter,Stupify!,Harry Potter: Stupify!
Bellatrix Lestrange,Avada--,Bellatrix Lestrange: Avada--
Neville Longbottom,Expelliarmus!,Neville Longbottom: Expelliarmus!
Harry Potter,Stupify!,Harry Potter: Stupify!
Harry Potter,Ron!,Harry Potter: Ron!
Ghosts,Impedimenta!,Ghosts: Impedimenta!
Ghosts,We've got him!,Ghosts: We've got him!
Hermione Granger,Silenco! Stupify!,Hermione Granger: Silenco! Stupify!
Harry Potter,Pretificus Totalus!,Harry Potter: Pretificus Totalus!
Neville Longbottom,Stupify!,Neville Longbottom: Stupify!
Harry Potter,Hermione!,Harry Potter: Hermione!
Neville Longbottom,What's they do to her?,Neville Longbottom: What's they do to her?
Harry Potter,Can we carry her?,Harry Potter: Can we carry her?
Neville Longbottom,I'll do it. You're better at fighting.,Neville Longbottom: I'll do it. You're better at fighting.
Neville Longbottom,Where do we go?,Neville Longbottom: Where do we go?
Harry Potter,I don't know...,Harry Potter: I don't know...
Harry Potter,What happened.,Harry Potter: What happened.
Ginny Weasley,I think my ankle's broken. And somebody hit Ron with a weird spell...,Ginny Weasley: I think my ankle's broken. And somebody hit Ron with a weird spell...
Luna Lovegood,They hit her with something too.,Luna Lovegood: They hit her with something too.
Bellatrix Lestrange,There they are!,Bellatrix Lestrange: There they are!
Harry Potter,Let my friends go and I will.,Harry Potter: Let my friends go and I will.
Lucius Malfoy,You are not in a position to negotiate.,Lucius Malfoy: You are not in a position to negotiate.
Bellatrix Lestrange,Neville? Neville Longbottom?,Bellatrix Lestrange: Neville? Neville Longbottom?
Neville Longbottom,You put them in St. Mungos!,Neville Longbottom: You put them in St. Mungos!
Neville Longbottom,Don't give it to them!,Neville Longbottom: Don't give it to them!
Bellatrix Lestrange,Crucio!,Bellatrix Lestrange: Crucio!
Harry Potter,Are you all right?,Harry Potter: Are you all right?
Neville Longbottom,Yeah...,Neville Longbottom: Yeah...
Ghosts,Give me the prophesy!,Ghosts: Give me the prophesy!
Sirius Black,That will take you back out of the Department of Mysteries.,Sirius Black: That will take you back out of the Department of Mysteries.
Harry Potter,You come with us!,Harry Potter: You come with us!
Lucius Malfoy,Potter!,Lucius Malfoy: Potter!
Lucius Malfoy,Stupify!,Lucius Malfoy: Stupify!
Harry Potter,Protego!,Harry Potter: Protego!
Neville Longbottom,It's Dumbledore!,Neville Longbottom: It's Dumbledore!
Remus Lupin,Harry! HARRY!...he's gone...there's nothing you can do...,Remus Lupin: Harry! HARRY!...he's gone...there's nothing you can do...
Harry Potter,No...no...no....,Harry Potter: No...no...no....
Harry Potter,I'LL KILL you!!,Harry Potter: I'LL KILL you!!
Harry Potter,Stupify!,Harry Potter: Stupify!
Harry Potter,Crucio!,Harry Potter: Crucio!
Bellatrix Lestrange,Crucio!,Bellatrix Lestrange: Crucio!
Bellatrix Lestrange,Give me the prophesy!,Bellatrix Lestrange: Give me the prophesy!
Harry Potter,Can't. It got smashed by accident!,Harry Potter: Can't. It got smashed by accident!
Bellatrix Lestrange,You lie!,Bellatrix Lestrange: You lie!
Voldemort,Avada Kadavra!,Voldemort: Avada Kadavra!
Voldemort,Avada Kedavra!,Voldemort: Avada Kedavra!
Voldemort,There is nothing worse than death!,Voldemort: There is nothing worse than death!
Harry Potter,Look out!,Harry Potter: Look out!
Harry Potter,Professor!,Harry Potter: Professor!
Albus Dumbledore,Harry!,Albus Dumbledore: Harry!
Cornelius Fudge,I know...I saw him too...,Cornelius Fudge: I know...I saw him too...
Cornelius Fudge,Seize him!,Cornelius Fudge: Seize him!
Cornelius Fudge,What's he doing here? And what's happened to him?,Cornelius Fudge: What's he doing here? And what's happened to him?
Albus Dumbledore,All Educational Decrees will be nullified and you will call off the search on Hagrid so he can return to work.,Albus Dumbledore: All Educational Decrees will be nullified and you will call off the search on Hagrid so he can return to work.
Albus Dumbledore,Portus.,Albus Dumbledore: Portus.
Albus Dumbledore,Thank you...,Albus Dumbledore: Thank you...
Harry Potter,No you don't!,Harry Potter: No you don't!
Harry Potter,You don't have a clue! You can't possibly know!,Harry Potter: You don't have a clue! You can't possibly know!
Albus Dumbledore,What can't I know?,Albus Dumbledore: What can't I know?
Harry Potter,I don't care! I don't care!,Harry Potter: I don't care! I don't care!
Albus Dumbledore,You do care. You care so much you feel like you will bleed to death because of it.,Albus Dumbledore: You do care. You care so much you feel like you will bleed to death because of it.
Harry Potter,Let me out.,Harry Potter: Let me out.
Albus Dumbledore,No.,Albus Dumbledore: No.
Harry Potter,You can't keep me in here!,Harry Potter: You can't keep me in here!
Albus Dumbledore,It is my fault Sirius died tonight.,Albus Dumbledore: It is my fault Sirius died tonight.
Harry Potter,I already know all this.,Harry Potter: I already know all this.
Harry Potter,But Snape stopped giving me lessons.,Harry Potter: But Snape stopped giving me lessons.
Harry Potter,Sirius didn't trust him. Didn't believe he'd really turned to our side...,Harry Potter: Sirius didn't trust him. Didn't believe he'd really turned to our side...
Harry Potter,But I checked Grimmauld Place! Kreacher said--,Harry Potter: But I checked Grimmauld Place! Kreacher said--
Albus Dumbledore,Kreacher lied. He wanted you to go to the Department of Mysteries.,Albus Dumbledore: Kreacher lied. He wanted you to go to the Department of Mysteries.
Harry Potter,Why?,Harry Potter: Why?
Albus Dumbledore,Kreacher has been serving two masters for some months now.,Albus Dumbledore: Kreacher has been serving two masters for some months now.
Harry Potter,What?,Harry Potter: What?
Albus Dumbledore,Ah. Apparently Kreacher had injured Buckbeak to distract him in case you tried to contact Headquarters.,Albus Dumbledore: Ah. Apparently Kreacher had injured Buckbeak to distract him in case you tried to contact Headquarters.
Albus Dumbledore,Sirius was tending to the wounds when you called.,Albus Dumbledore: Sirius was tending to the wounds when you called.
Harry Potter,And Hermione said we should be nice to Kreacher!,Harry Potter: And Hermione said we should be nice to Kreacher!
Harry Potter,Sirius hated him.,Harry Potter: Sirius hated him.
Albus Dumbledore,He didn't hate Kreacher himself. Kreacher was a reminder to Sirius of the home he had always hated.,Albus Dumbledore: He didn't hate Kreacher himself. Kreacher was a reminder to Sirius of the home he had always hated.
Albus Dumbledore,I was trying to save his life!,Albus Dumbledore: I was trying to save his life!
Albus Dumbledore,I also knew that Voldemort would return one day. I played to his weakness. There is an ancient magic which Voldemort has always underestimated.,Albus Dumbledore: I also knew that Voldemort would return one day. I played to his weakness. There is an ancient magic which Voldemort has always underestimated.
Harry Potter,She never loved me.,Harry Potter: She never loved me.
Albus Dumbledore,Do you remember your first year here? When you lay in the hospital wing fresh from your confrontation with Voldemort?,Albus Dumbledore: Do you remember your first year here? When you lay in the hospital wing fresh from your confrontation with Voldemort?
Albus Dumbledore,Do you remember what you asked me that night?,Albus Dumbledore: Do you remember what you asked me that night?
Harry Potter,I asked you why Voldemort tried to kill me.,Harry Potter: I asked you why Voldemort tried to kill me.
Albus Dumbledore,That was not the only place the Prophesy is preserved.,Albus Dumbledore: That was not the only place the Prophesy is preserved.
Sybill Trelawney,"""""""The One with the power to vanquish the Dark Lord approaches....Born to""","Sybill Trelawney: """"""The One with the power to vanquish the Dark Lord approaches....Born to"""
Harry Potter,And...it means me?,Harry Potter: And...it means me?
Harry Potter,What if he chose wrong?,Harry Potter: What if he chose wrong?
Harry Potter,Why didn't he wait? Why attack when we were babies?,Harry Potter: Why didn't he wait? Why attack when we were babies?
Harry Potter,But I don't have any special powers.,Harry Potter: But I don't have any special powers.
Albus Dumbledore,There is a room in the Department of Mysteries which is kept locked at all times. It contains a force so wonderful and yet terrible that it is greater than death itself. It is that power which you have incredible amounts of and of which Voldemort has none.,Albus Dumbledore: There is a room in the Department of Mysteries which is kept locked at all times. It contains a force so wonderful and yet terrible that it is greater than death itself. It is that power which you have incredible amounts of and of which Voldemort has none.
Albus Dumbledore,"""There is only the end of the prophesy which we haven't addressed. It states """"neither can live while the other survives.""""""","Albus Dumbledore: ""There is only the end of the prophesy which we haven't addressed. It states """"neither can live while the other survives."""""""
Harry Potter,One of us has to kill the other...in the end.,Harry Potter: One of us has to kill the other...in the end.
Albus Dumbledore,Yes.,Albus Dumbledore: Yes.
Harry Potter,Oh. Thanks.,Harry Potter: Oh. Thanks.
Nearly Headless Nick,I've been expecting this...,Nearly Headless Nick: I've been expecting this...
Harry Potter,Expecting what?,Harry Potter: Expecting what?
Nearly Headless Nick,A lot of people come to me when they've lost loved ones.,Nearly Headless Nick: A lot of people come to me when they've lost loved ones.
Harry Potter,I expect so...,Harry Potter: I expect so...
Harry Potter,Why?,Harry Potter: Why?
Nearly Headless Nick,I'm sorry I couldn't be of more,Nearly Headless Nick: I'm sorry I couldn't be of more
Hermione Granger,Harry!,Hermione Granger: Harry!
Harry Potter,How are you?,Harry Potter: How are you?
Harry Potter,Better.,Harry Potter: Better.
Harry Potter,I've got something to tell you. Something important.,Harry Potter: I've got something to tell you. Something important.
Harry Potter,But not right now. I'm not ready.,Harry Potter: But not right now. I'm not ready.
Luna Lovegood,It's the last night and I need to pack.,Luna Lovegood: It's the last night and I need to pack.
Luna Lovegood,"""I don't think they like me much. Some of them call me """"Loony"""" Lovegood.""","Luna Lovegood: ""I don't think they like me much. Some of them call me """"Loony"""" Lovegood."""
Harry Potter,Do you need any help looking?,Harry Potter: Do you need any help looking?
Luna Lovegood,Oh no. It all turns up in the end.,Luna Lovegood: Oh no. It all turns up in the end.
Luna Lovegood,Sirius Black. Hermione said he was your Godfather.,Luna Lovegood: Sirius Black. Hermione said he was your Godfather.
Harry Potter,Yeah.,Harry Potter: Yeah.
Luna Lovegood,My mother. I was nine.,Luna Lovegood: My mother. I was nine.
Harry Potter,I'm sorry.,Harry Potter: I'm sorry.
Luna Lovegood,It's okay. It's not like I'll never see her again.,Luna Lovegood: It's okay. It's not like I'll never see her again.
Harry Potter,Isn't it?,Harry Potter: Isn't it?
Luna Lovegood,Don't tell me you didn't hear them. The voices beyond the Veil?,Luna Lovegood: Don't tell me you didn't hear them. The voices beyond the Veil?
Harry Potter,I've been thinking about something Dumbledore said to me.,Harry Potter: I've been thinking about something Dumbledore said to me.
Hermione Granger,What's that ?,Hermione Granger: What's that ?
Harry Potter,That even though we've got a fight ahead of us we've got one thing that Voldemort doesn't have.,Harry Potter: That even though we've got a fight ahead of us we've got one thing that Voldemort doesn't have.
Ron Weasley,Yeah ?,Ron Weasley: Yeah ?
Harry Potter,Something worth fighting for,Harry Potter: Something worth fighting for
Bellatrix Lestrange,Narcissa!,Bellatrix Lestrange: Narcissa!
Bellatrix Lestrange,Cissy! You mustn't do this.  He can't be trusted.,Bellatrix Lestrange: Cissy! You mustn't do this.  He can't be trusted.
Narcissa Malfoy,The Dark Lord trusts him.,Narcissa Malfoy: The Dark Lord trusts him.
Bellatrix Lestrange,The Dark Lord is mistaken.,Bellatrix Lestrange: The Dark Lord is mistaken.
Bellatrix Lestrange,Or so I believe.,Bellatrix Lestrange: Or so I believe.
Bellatrix Lestrange,He lives in this Muggle dunghill?,Bellatrix Lestrange: He lives in this Muggle dunghill?
Bellatrix Lestrange,You must be joking.,Bellatrix Lestrange: You must be joking.
Narcissa Malfoy,I know I ought not to be here. The Dark Lord himself has forbidden me to speak of this --,Narcissa Malfoy: I know I ought not to be here. The Dark Lord himself has forbidden me to speak of this --
Bellatrix Lestrange,You? The Dark Lord told you?,Bellatrix Lestrange: You? The Dark Lord told you?
Severus Snape,Over the years I have played my part well.  So well I've deceived one of the greatest wizards of all time.,Severus Snape: Over the years I have played my part well.  So well I've deceived one of the greatest wizards of all time.
Severus Snape,Dumbledore is a great wizard. Only a fool would question it.,Severus Snape: Dumbledore is a great wizard. Only a fool would question it.
Narcissa Malfoy,He's just a boy!,Narcissa Malfoy: He's just a boy!
Severus Snape,I can't change the Dark Lord's mind.  But it might be possible for me to help Draco.  To provide some... protection.,Severus Snape: I can't change the Dark Lord's mind.  But it might be possible for me to help Draco.  To provide some... protection.
Severus Snape,I can try.,Severus Snape: I can try.
Bellatrix Lestrange,Swear to it.,Bellatrix Lestrange: Swear to it.
Bellatrix Lestrange,Make the Unbreakable Vow. You see.  It's just empty words. Oh he'll try.  He'll give it his best effort.  But when it matters most he'll slither back into his hole.  Bloody coward...,Bellatrix Lestrange: Make the Unbreakable Vow. You see.  It's just empty words. Oh he'll try.  He'll give it his best effort.  But when it matters most he'll slither back into his hole.  Bloody coward...
Severus Snape,Take out your wand.,Severus Snape: Take out your wand.
Severus Snape,I will.,Severus Snape: I will.
Severus Snape,I will.,Severus Snape: I will.
Severus Snape,I will.,Severus Snape: I will.
Wizard,Harry Potter.  Who's Harry Potter?,Wizard: Harry Potter.  Who's Harry Potter?
Harry Potter,Oh.  Um.  No one.  Bit of a tosser.,Harry Potter: Oh.  Um.  No one.  Bit of a tosser.
Harry Potter,Really.,Harry Potter: Really.
Wizard,Thought I'd gone round the twist.,Wizard: Thought I'd gone round the twist.
Harry Potter,Hey.  I was wondering...,Harry Potter: Hey.  I was wondering...
Wizard,Eleven.  That's when I get off.,Wizard: Eleven.  That's when I get off.
Albus Dumbledore,I once knew a Muggle girl from Liverpool with hair like spun silk.  No light could resist it...,Albus Dumbledore: I once knew a Muggle girl from Liverpool with hair like spun silk.  No light could resist it...
Harry Potter,I like riding round on the trains. It takes my mind off... things.,Harry Potter: I like riding round on the trains. It takes my mind off... things.
Albus Dumbledore,Indeed.  And quite successfully I might add.  Most people vomit their first time.,Albus Dumbledore: Indeed.  And quite successfully I might add.  Most people vomit their first time.
Harry Potter,Can't imagine why...,Harry Potter: Can't imagine why...
Albus Dumbledore,Lumos...,Albus Dumbledore: Lumos...
Albus Dumbledore,Horace!,Albus Dumbledore: Horace!
Horace Slughorn,Merlin's Beard!,Horace Slughorn: Merlin's Beard!
Horace Slughorn,It's all in the upholstery. I come by the stuffing naturally. What gave me away?,Horace Slughorn: It's all in the upholstery. I come by the stuffing naturally. What gave me away?
Albus Dumbledore,Dragon's blood.,Albus Dumbledore: Dragon's blood.
Horace Slughorn,S-someone else?  I'm sure I don't know what you mean.,Horace Slughorn: S-someone else?  I'm sure I don't know what you mean.
Horace Slughorn,Oh all right!  The Death Eaters have been trying to recruit me for over a year.  Do you know what that's like?  One can only say no to these people so many times before they...,Horace Slughorn: Oh all right!  The Death Eaters have been trying to recruit me for over a year.  Do you know what that's like?  One can only say no to these people so many times before they...
Albus Dumbledore,Take matters into their own hands?,Albus Dumbledore: Take matters into their own hands?
Horace Slughorn,I never stay anywhere more than a week.  The Muggles who own this place are in the Canary Islands.,Horace Slughorn: I never stay anywhere more than a week.  The Muggles who own this place are in the Canary Islands.
Albus Dumbledore,That was fun.  May I use the loo?,Albus Dumbledore: That was fun.  May I use the loo?
Horace Slughorn,You look very like your father. Except for your eyes.  You've got --,Horace Slughorn: You look very like your father. Except for your eyes.  You've got --
Horace Slughorn,Lily.  Lovely Lily.  She was exceedingly bright -- your mother. Even more impressive when one considers she was Muggle-born.,Horace Slughorn: Lily.  Lovely Lily.  She was exceedingly bright -- your mother. Even more impressive when one considers she was Muggle-born.
Harry Potter,One of my best friends is Muggle- born.  She's the best in our year.,Harry Potter: One of my best friends is Muggle- born.  She's the best in our year.
Albus Dumbledore,Mind if I take this?  I do love knitting patterns.,Albus Dumbledore: Mind if I take this?  I do love knitting patterns.
Horace Slughorn,Of course.  But you're not leaving?,Horace Slughorn: Of course.  But you're not leaving?
Albus Dumbledore,Indeed they are.,Albus Dumbledore: Indeed they are.
Albus Dumbledore,Both are waiting for you.,Albus Dumbledore: Both are waiting for you.
Harry Potter,Sir?,Harry Potter: Sir?
Ginny Weasley,Hedwig...?  Mum!,Ginny Weasley: Hedwig...?  Mum!
Ginny Weasley,Exactly.  How'd you guess?,Ginny Weasley: Exactly.  How'd you guess?
Molly Weasley,You're worse than Fred and George.,Molly Weasley: You're worse than Fred and George.
Ginny Weasley,Now you're joking.  I was only wondering when Harry got here.,Ginny Weasley: Now you're joking.  I was only wondering when Harry got here.
Molly Weasley,Harry who?,Molly Weasley: Harry who?
Ginny Weasley,Well his trunk's in the kitchen. And his owl.,Ginny Weasley: Well his trunk's in the kitchen. And his owl.
Molly Weasley,I seriously doubt that.,Molly Weasley: I seriously doubt that.
Ron Weasley,Harry?  Did someone say Harry?,Ron Weasley: Harry?  Did someone say Harry?
Hermione Granger,Was that an owl I heard?,Hermione Granger: Was that an owl I heard?
Hermione Granger,Really?,Hermione Granger: Really?
Harry Potter,Really.,Harry Potter: Really.
Ron Weasley,Harry!,Ron Weasley: Harry!
Hermione Granger,Harry!,Hermione Granger: Harry!
Molly Weasley,But why didn't you tell us you were coming?,Molly Weasley: But why didn't you tell us you were coming?
Harry Potter,Didn't know. Dumbledore.,Harry Potter: Didn't know. Dumbledore.
Ron Weasley,You've a bit of...,Ron Weasley: You've a bit of...
Harry Potter,When'd you get here?,Harry Potter: When'd you get here?
Ron Weasley,Mum sort of lost it last week. Said Ginny and I had no business going back to Hogwarts.  That it's too dangerous.,Ron Weasley: Mum sort of lost it last week. Said Ginny and I had no business going back to Hogwarts.  That it's too dangerous.
Harry Potter,Oh come on...,Harry Potter: Oh come on...
Hermione Granger,She's not alone.  Even my parents -- and they're Muggles -- know something bad is happening.,Hermione Granger: She's not alone.  Even my parents -- and they're Muggles -- know something bad is happening.
Harry Potter,But we're talking about Hogwarts. Dumbledore. What could be safer?,Harry Potter: But we're talking about Hogwarts. Dumbledore. What could be safer?
Hermione Granger,There's been a lot of chatter lately.  That he's gotten... old.,Hermione Granger: There's been a lot of chatter lately.  That he's gotten... old.
Harry Potter,Rubbish.  He's only -- what?,Harry Potter: Rubbish.  He's only -- what?
Ron Weasley,A hundred and fifty.  Give or take a few years.,Ron Weasley: A hundred and fifty.  Give or take a few years.
Fred Weasley,Step up!  Step up!,Fred Weasley: Step up!  Step up!
George Weasley,Step up!  Step up!,George Weasley: Step up!  Step up!
George Weasley,We've got Fainting Fancy...,George Weasley: We've got Fainting Fancy...
Fred Weasley,Nosebleed Nougats...,Fred Weasley: Nosebleed Nougats...
George Weasley,And just in time for school...,George Weasley: And just in time for school...
Fred Weasley,Puking Pastilles!,Fred Weasley: Puking Pastilles!
Harry Potter,Amazing.,Harry Potter: Amazing.
Fred Weasley,We've got eyes in the back of our heads.,Fred Weasley: We've got eyes in the back of our heads.
George Weasley,Bloody urchins.,George Weasley: Bloody urchins.
Harry Potter,Peruvian Instant Darkness Powder?,Harry Potter: Peruvian Instant Darkness Powder?
Fred Weasley,A real money spinner that.,Fred Weasley: A real money spinner that.
Ginny Weasley,Meaning?,Ginny Weasley: Meaning?
Fred Weasley,Are you not currently dating Dean Thomas?,Fred Weasley: Are you not currently dating Dean Thomas?
Ginny Weasley,None of your business.,Ginny Weasley: None of your business.
Hermione Granger,These are adorable.,Hermione Granger: These are adorable.
Fred Weasley,Aren't they now.  Pygmy Puffs. Can't breed them fast enough.,Fred Weasley: Aren't they now.  Pygmy Puffs. Can't breed them fast enough.
Ron Weasley,How much for this?,Ron Weasley: How much for this?
Fred Weasley,Five Galleons.,Fred Weasley: Five Galleons.
George Weasley,Five Galleons.,George Weasley: Five Galleons.
Ron Weasley,How much for me?,Ron Weasley: How much for me?
Fred Weasley,Five Galleons.,Fred Weasley: Five Galleons.
George Weasley,Five Galleons.,George Weasley: Five Galleons.
Ron Weasley,But I'm your brother!,Ron Weasley: But I'm your brother!
Fred Weasley,Ten Galleons.,Fred Weasley: Ten Galleons.
Ron Weasley,C'mon. Let's go.,Ron Weasley: C'mon. Let's go.
Ron Weasley,Hi.,Ron Weasley: Hi.
Hermione Granger,How is it Fred and George are doing it?  Half the alley's closed down.,Hermione Granger: How is it Fred and George are doing it?  Half the alley's closed down.
Ron Weasley,Fred reckons people need a laugh these days.,Ron Weasley: Fred reckons people need a laugh these days.
Harry Potter,Reckon he's right...,Harry Potter: Reckon he's right...
Hermione Granger,Oh no.  Look.,Hermione Granger: Oh no.  Look.
Hermione Granger,But everyone got their wands from Ollivander.  Young.  Old...,Hermione Granger: But everyone got their wands from Ollivander.  Young.  Old...
Harry Potter,Good.  Bad.  Speaking of which...,Harry Potter: Good.  Bad.  Speaking of which...
Ron Weasley,Is it just me?  Or do Draco and mummy look like two people who don't want to be followed?,Ron Weasley: Is it just me?  Or do Draco and mummy look like two people who don't want to be followed?
Ron Weasley,What're they playing at?,Ron Weasley: What're they playing at?
Harry Potter,Dunno.  Let's get closer.,Harry Potter: Dunno.  Let's get closer.
Ron Weasley,Hey.  Where's Hermione?,Ron Weasley: Hey.  Where's Hermione?
Harry Potter,I don't know.  I'm turned around.,Harry Potter: I don't know.  I'm turned around.
Ron Weasley,Bloody hell.,Ron Weasley: Bloody hell.
Hermione Granger,Sorry.,Hermione Granger: Sorry.
Harry Potter,What just happened?,Harry Potter: What just happened?
Hermione Granger,I don't know.,Hermione Granger: I don't know.
Luna Lovegood,Quibbler...?  Quibbler...?,Luna Lovegood: Quibbler...?  Quibbler...?
Luna Lovegood,There's an article on Wrackspurts this month.  Quibbler...?,Luna Lovegood: There's an article on Wrackspurts this month.  Quibbler...?
Ginny Weasley,Please.  What's a Wrackspurt?,Ginny Weasley: Please.  What's a Wrackspurt?
Luna Lovegood,They're invisible creatures that float in through your ears and make your brain go fuzzy. Quibbler?  Quibbler?,Luna Lovegood: They're invisible creatures that float in through your ears and make your brain go fuzzy. Quibbler?  Quibbler?
Harry Potter,It's happened.  He's one of them.,Harry Potter: It's happened.  He's one of them.
Ron Weasley,One of what?,Ron Weasley: One of what?
Hermione Granger,Harry is under the impression that Draco Malfoy is now a Death Eater.,Hermione Granger: Harry is under the impression that Draco Malfoy is now a Death Eater.
Ron Weasley,You're barking.  What would You- Know-Who want with a sod like Malfoy?,Ron Weasley: You're barking.  What would You- Know-Who want with a sod like Malfoy?
Harry Potter,So what's he doing in Borgin and Burke's?  Browsing for furniture?,Harry Potter: So what's he doing in Borgin and Burke's?  Browsing for furniture?
Ron Weasley,It's a creepy shop.  He's a creepy bloke.,Ron Weasley: It's a creepy shop.  He's a creepy bloke.
Hermione Granger,I told you.  I don't know what I saw.,Hermione Granger: I told you.  I don't know what I saw.
Harry Potter,I need some air.,Harry Potter: I need some air.
Draco Malfoy,What just happened?  Blaise?,Draco Malfoy: What just happened?  Blaise?
Blaise Zabini,Don't know.,Blaise Zabini: Don't know.
Draco Malfoy,Hogwarts.  What a pathetic excuse for a school.  I think I'd pitch myself off the Astronomy Tower if I thought I had to continue on for another two years.,Draco Malfoy: Hogwarts.  What a pathetic excuse for a school.  I think I'd pitch myself off the Astronomy Tower if I thought I had to continue on for another two years.
Pansy Parkinson,What's that supposed to mean?,Pansy Parkinson: What's that supposed to mean?
Draco Malfoy,Let's just say I don't think you'll be seeing me wasting my time in Charms Class next year.,Draco Malfoy: Let's just say I don't think you'll be seeing me wasting my time in Charms Class next year.
Hermione Granger,Where's Harry?,Hermione Granger: Where's Harry?
Ron Weasley,Probably on the platform.  C'mon.,Ron Weasley: Probably on the platform.  C'mon.
Draco Malfoy,You two go on.  I want to check something.,Draco Malfoy: You two go on.  I want to check something.
Draco Malfoy,Enjoy the ride back to London.,Draco Malfoy: Enjoy the ride back to London.
Harry Potter,Luna.  How'd you...?,Harry Potter: Luna.  How'd you...?
Luna Lovegood,Wrackspurts. Your head's full of them.,Luna Lovegood: Wrackspurts. Your head's full of them.
Luna Lovegood,It's alright.  I enjoyed our walk. It was like being with a friend.,Luna Lovegood: It's alright.  I enjoyed our walk. It was like being with a friend.
Luna Lovegood,That's nice.,Luna Lovegood: That's nice.
Filius Flitwick,About time!  I've been looking all over for you two.  Names.,Filius Flitwick: About time!  I've been looking all over for you two.  Names.
Luna Lovegood,Who are those people?,Luna Lovegood: Who are those people?
Filius Flitwick,Aurors. For security.,Filius Flitwick: Aurors. For security.
Argus Filch,And what exactly would you be wanting with a walking stick?,Argus Filch: And what exactly would you be wanting with a walking stick?
Severus Snape,It was his father's.,Severus Snape: It was his father's.
Draco Malfoy,Is my father's.  He's not dead.,Draco Malfoy: Is my father's.  He's not dead.
Luna Lovegood,Would you like me to fix it? Personally I think you look a bit more devil-may-care this way.  But it's up to you.,Luna Lovegood: Would you like me to fix it? Personally I think you look a bit more devil-may-care this way.  But it's up to you.
Harry Potter,Have you ever fixed one?  A nose.,Harry Potter: Have you ever fixed one?  A nose.
Luna Lovegood,No.  But I've done several toes and how different are they really?,Luna Lovegood: No.  But I've done several toes and how different are they really?
Harry Potter,What the hell.  Give it a go.,Harry Potter: What the hell.  Give it a go.
Luna Lovegood,Episkey.,Luna Lovegood: Episkey.
Harry Potter,Well?  How do I look?,Harry Potter: Well?  How do I look?
Luna Lovegood,Exceptionally ordinary.,Luna Lovegood: Exceptionally ordinary.
Harry Potter,Brilliant.,Harry Potter: Brilliant.
Ron Weasley,Don' you worry.  He'll be 'long soon 'nuff --,Ron Weasley: Don' you worry.  He'll be 'long soon 'nuff --
Hermione Granger,Will.  You.  Stop.  Eating!  Your best friend is missing!,Hermione Granger: Will.  You.  Stop.  Eating!  Your best friend is missing!
Ginny Weasley,He's covered in blood again.  Why is it he's always covered in blood?,Ginny Weasley: He's covered in blood again.  Why is it he's always covered in blood?
Ron Weasley,Looks like his own this time.,Ron Weasley: Looks like his own this time.
Harry Potter,Later.  What've I missed?,Harry Potter: Later.  What've I missed?
Harry Potter,Thanks...,Harry Potter: Thanks...
Hermione Granger,What's happened to his hand?,Hermione Granger: What's happened to his hand?
Ron Weasley,That was cheerful.,Ron Weasley: That was cheerful.
Minerva McGonagall,Potter!,Minerva McGonagall: Potter!
Harry Potter,This can't be good.,Harry Potter: This can't be good.
