Character Name,Dialogue,lines
Ron Weasley,Ahh!,Ron Weasley: Ahh!
Harry Potter,What's happening?,Harry Potter: What's happening?
Harry Potter,Let's go this way.,Harry Potter: Let's go this way.
Ron Weasley,Before the staircase moves again.,Ron Weasley: Before the staircase moves again.
Harry Potter,Does anyone feel like...we shouldn't be here?,Harry Potter: Does anyone feel like...we shouldn't be here?
Hermione Granger,We're not supposed to be here. This is the 3rd floor. It's forbidden.,Hermione Granger: We're not supposed to be here. This is the 3rd floor. It's forbidden.
Harry Potter,Let's go.,Harry Potter: Let's go.
Ron Weasley,It's Filch's cat!,Ron Weasley: It's Filch's cat!
Harry Potter,Run!,Harry Potter: Run!
Harry Potter,Quick! Let's hide though that door!,Harry Potter: Quick! Let's hide though that door!
Harry Potter,It's locked!,Harry Potter: It's locked!
Ron Weasley,Alohomora?,Ron Weasley: Alohomora?
Hermione Granger,Filch is gone.,Hermione Granger: Filch is gone.
Ron Weasley,Probably thinks this door's locked.,Ron Weasley: Probably thinks this door's locked.
Hermione Granger,It was locked.,Hermione Granger: It was locked.
Harry Potter,And for good reason.,Harry Potter: And for good reason.
All,AHHHHHHH!,All: AHHHHHHH!
Ron Weasley,What do they think they're doing?? Keeping a thing like that locked up in a school.,Ron Weasley: What do they think they're doing?? Keeping a thing like that locked up in a school.
Hermione Granger,It was standing on a trap door. Which means it wasn't there by accident. It's guarding something.,Hermione Granger: It was standing on a trap door. Which means it wasn't there by accident. It's guarding something.
Harry Potter,Guarding something?,Harry Potter: Guarding something?
Ron Weasley,She needs to sort out her priorities!,Ron Weasley: She needs to sort out her priorities!
Harry Potter,I think so. What are those?,Harry Potter: I think so. What are those?
Harry Potter,What is that?,Harry Potter: What is that?
Harry Potter,I like this ball.,Harry Potter: I like this ball.
Harry Potter,What do I do with it?,Harry Potter: What do I do with it?
Harry Potter,Whoa.,Harry Potter: Whoa.
All,The swish and flick.,All: The swish and flick.
Filius Flitwick,Good. And enunciate. Wingardium Leviosa. Off you go then.,Filius Flitwick: Good. And enunciate. Wingardium Leviosa. Off you go then.
Draco Malfoy,Wingardium Levio-saaa.,Draco Malfoy: Wingardium Levio-saaa.
Ron Weasley,Wingardrium Leviosar!,Ron Weasley: Wingardrium Leviosar!
